Song	Artist	Lyrics
Oceania	Björk	"One breath away from mother Oceania\Your nimble feet make prints in my sands\You have done good for yourselves\Since you left my wet embrace\And crawled ashore\Every boy, is a snake is a lily\Every pearl is a lynx, is a girl\Sweet like harmony made into flesh\You dance by my side\Children sublime\\You show me continents\I see islands\You count the centuries\I blink my eyes\Hawks and sparrows race in my waters\Stingrays are floating\Across the sky\Little ones, my sons and my daughters\Your sweat is salty\I am why, I am why\I am why\Your sweat is salty\I am why, I am why\I am why, I am why"
Obsessed	Boa	"It's a crime, it's a crime\It's a shame, it's a crime\I'm climbing the walls\Losing my mind\It's all your fault\I'm breaking the rules\Don't really care if I get caught\Can't you tell that I'm in love love love\Can't get enough of you\Need you night and day\When you're not around I'm tested\I could get arrested\Carrying on this way\I'm going crazy here by myself\I want you and no one else\Sending out a signal of distress\I confess, I'm obsessed\Uh oh uh uh oh oh\It's a crime, it's a shame\Holding your love for me\Uh oh uh uh oh oh\It's a crime, it's a shame\It's a crime\Oh, I'm obsessed~\No telling what I might do tonight\Waiting for you\I'm right on the edge\I'm crossing the line\Coming in blue\Can't you tell that I'm in love love love\Can't get enough of you\Need you night and day\When you're not around I'm tested\I could get arrested\Carrying on this way\I'm going crazy here by myself\I want you and no one else\Sending out a signal of distress\I confess, I'm obsessed\Uh oh uh uh oh oh\It's a crime, it's a shame\Holding your love for me\Uh oh uh uh oh oh\It's a crime, it's a shame\It's a crime\Got me going crazy\The way I want you baby\Can't even try to hide it\Don't even wanna fight it\I'm obsessed with you tonight\I'm obsessed with you tonight\I'm going crazy here by myself\I want you and no one else\Sending out a signal of distress\I confess, I'm obsessed\Uh oh uh uh oh oh\Uh oh uh uh oh oh~"
Good Day (Japanese Cover)	Zessei Bijin!	
Butterfly's Sleep	L'Arc~en~Ciel	""
COLORS	Flow	
Sarabande (Cover)	Horizon	
No World For Tomorrow	Coheed and Cambria	"Wait! There's never been a mess like this\No more hands to hold\When the page turns tomorrow, with the hurt to give up\Curse us, as God has (sold us)\Believe me\Hell has no room for your crime\So beat me\'Til the blood and the bone finds our end near\\Bye-bye, world\Or will our hope still hold on?\Boy, you're never going to see\The things that'll come of these (days)\\(Raise your hands high!) Young brothers and sisters\There's a world's worth of work and a need for you\Oh, change is coming, feel these doors now closing in\Is there no world for tomorrow, if we wait for today?\So march to the drumming, show them you're coming\You've been their play (toy)\Cut to the carving, bleed them 'til running\Enough, they'll take no more\\You've been given all the power, boy\Now, go and make your move\Curse us, these gods aren't faking\Have mercy on the cowards, boys\They'll pray to have you lose\Help us, this world's now breaking\So now, they've noticed all you've given in sound\Let us in, let us in\Give me love over life, the sweet soft of ground\Let us in, let us in, now\\Bye-bye, world\Or will our hope still hold on?\Boy, you're never going to see\The things that'll come of these (days)\\(Raise your hands high!) Young brothers and sisters\There's a world's worth of work and a need for you\Oh, change is coming, feel these doors now closing in\Is there no world for tomorrow, if we wait for today?\So march to the drumming, show them you're coming\You've been their play (toy)\Cut to the carving, bleed them 'til running\Enough, they'll take no more\\In the light we'll sing, as all hurt must bring\In the falling cusp of all broken things\In the coming dusk, you will call on us\And unite we must, I'm the Crowing, fly!\You all think you've figured me out, do as I say\Your words mean nothing at all, so now, I lay\I said, "Come, Momma! Come, Momma! As I need"\I said, "Come, Momma! Come, Momma! Watch it bleed"\Oh, what did I do to deserve all of this?\What did I do to deserve all of you?\\(Raise your hands high!) Young brothers and sisters\There's a world's worth of work and a need for you\Oh, change is coming, feel these doors now closing in\Is there no world for tomorrow, if we wait for today?\\Bye-bye, world\Or will our hope still hold on?"
ZEROTICA	XA-VAT	
EXISTENCE	L'Arc~en~Ciel	"
the clock is already turning to its third cycle
enough already - it's about time you left this room
i'm losing sleep 'caouse as usual you linger around in my head

Take away. Their existence. Take away. Their insistence.

if he arrives, it'll be even worse
before i realize it's too late to stave him off
do you pretend to be the guardian of my dream?
you linger around in my head

Take away. Their existence. Take away. Their insistence.

the night was whisked away; the sun beckons me
their innocent smile drives me to the corner to wake up

Take away. Their existence. Take away. Their insistence.

if i can dive into your skin and gently drown myself
i want to fill into my lungs with you until it pours

the night was whisking away; the sun beckons
stick a gun into them and grasp ypur freedom!

take away

[ I'll wake up the moment you close your eyes
I'll make you watch documentary moveies every single night
The more you try to forget
The more I'll be at your side
I am the vampire who lives in the darkness of your mind
You will not be able to sleep
So why don't you just stay awake...? "
Killing Me Softly (Cover)	The Jackson 5	
Bakit?	Cueshé	""
瞳の住人	L'Arc~en~Ciel	
DAYS	Flow	
ANGEL'S TALE	Hyde	"Here in my heart\Memories linger\I hold them sacred\Safe from all others\Angel's tale\A love such as this\Once in a lifetime\Lost in your beauty\Still dreaming of you\Angel's tale\You drove the sinner from me\And shone with such glory\Touching me softly\My breath torn away\Wrapped in a silver veil\Under skies so pale\Trembling as i watched you\One holy night\Angel\Snow can be warm\Didn't you know that\Just like a snowflake\Falling from heaven\Angel's tale\I kept my feelings from you\The heavens divide us\I longed to tell you\All my heart's desire\If only i had wings\Wings as white as yours\Up into the sky\I'd surely fly\Angel ah\Yes, on such snowy nights\Memories revive\Your eternal flame\Burning again secret\Here in my heart\Memories linger\I hold them scared\Safe from all others\Angel's tale"
flower	L'Arc~en~Ciel	"I noticed that in the afternoon light\I'm still sleeping\The scenario where nothing turns out the way I want\I'm puzzeled by it\ \I can't be with you today again\So I stay in bed and close my eyes\Even until the morning after next\I'll be fascinated with the image of you in my dreams\ \Always swayed in your smile\I want to bloom strongly like the sun\My chest is aching so much that it's about to break\If my love is hopleless,\at least, I wish to wither up!\ \I cannot laugh any more\you say the same things over and over in my dream\Beyond the window\I wonder what the real you is doing right now?\ \In that far away yesterday\I wandered with an empty bird cage\Must have been searching for you\ \Even though I'm invited out by a brilliant wind\I'm chasing after you in my dream\the sky engulfed me, who looks up at it\it was sun-drenched deep blue\ \Like a flower\Flowers bloom in sunlight, and I live close to you\ \by floating Innumerable seeds up to that hill\I will cover it up with beautiful flowers for you\Find me soon, find me, I'm right here\I'm waiting for you to wake me up, but...\ \Always swayed in your smile\I want to bloom strongly like the sun\My chest is aching so much that it's about to break\If my love is hopleless,\I wish to wither up, at least!"
Hitomi no Junnin	L'Arc~en~Ciel	
Be Strong	Yazumi Kana	
DARE	Gorillaz	"It's coming up, it's coming up, it's coming up, it's coming up, it's coming up, it's coming up; it's dare\\You've got to press it on you, you just, think it\That's what you do, baby, hold it down, there\Jump with them all and move it, jump back and forth\And feel like you were there yourself, work it out\\Never did no harm, never did no harm... it's dare\It's coming up, it's coming up... it's dare\Bridge: Roses Gabor (Noodle)\You've got to press it on you, you just, think it\That's what you do, baby, hold it down, there\Jump with the moon, and move it, jump back and forth\And feel like you were there yourself, work it out\\Never did no harm, never did no harm... it's dare\It's coming up, it's coming up... it's dare\Bridge: Roses Gabor (Noodle)\You've got to press it on you, you just, think it\That's what you do, baby, hold it down, there\Jump with the moon, and move it, jump back and forth\And feel like you were there yourself, work it out"
Glass Skin	DIR EN GREY	""
WAVE (Cover)	Himistuni	
Merry Christmas Mr. Lawrence (1996 Live)	坂本龍一	
Shiroi Yuki no Princess Wa ft. Akatsuki Taiyou& ZODIAC	Zessei Bijin!	
Link -KISS Mix-	L'Arc~en~Ciel	"Do you remember? When we were young,\there was a door we couldn't reach standing on tiptoe\We wandered around, forgetting the time\And always ran into the maze there\\I can't stop unconsciously searching for your smile\Even now, I continue to run, without changing anything\\Even if we are far apart, our hearts are linked\Even if a mischievous fate befalls us, [the link] won't break\\The future we wish for is just ahead\Everyone should have realized that\Someday, I want to show you the time when the tools of war disappear\On a sunny day\\This is a falling world where we can't stop hurting each other\But just because I met you, I no longer fear anything\\No matter how much this body burns, it's okay if I can give it to you\I'll soar to the pure white heavens to protect you\\Even if we are far apart, our hearts are linked\Even if a mischievous fate befalls us, [the link] won't break\\No matter how much this body burns, it's okay if I can give it to you\It would be nice if this reborn world would reach those eyes one day"
The Hound (of Blood and Rank)	Coheed and Cambria	"Was it in the cold of that knife you screwed\In the heart of the enduring?\‘Cause when you opened that door, you knew\Well now, there'd be no returning\Or room to mourn what we have lost\To wait while the willing\As you're the hound of blood and rank\And boy, you've got another thing coming\\Come on, come on, come on\You've got to give it to me\As though you want it to\Come on and set me free\\I'll dig it 'til we've made your grave\Oh, you've been a bad, bad boy\I'll cut it 'til I carve it out\And stick it in a sad, sad song\Why the bother? You're no brother\You're the wrong I need\Boy, we all found an audience, while\You found the worst of me, you got another thing\\Put 'em up against the wall, now they're of no use to you\God, it's time for the curing\Only you're in for that big refuse\Surprise, boy! This tide's come a-turning\No room to mourn what you have lost\Oh, no waiting while the willing\Poor little hound of blood and rank\Who deserves every ounce of what's coming\\Come on, come on, come on\You've got to give it to me\As though you want it to\Come on and set me free\\I'll dig it 'til we've made your grave\Oh, you've been a bad, bad boy\I'll cut it 'til I carve it out\And stick it in a sad, sad song\Why the bother? You're no brother\You're the wrong I need\Boy, we all found an audience, while\You found the worst of me, you got another thing\\Come on, come on, come on\You've got to give it to me\As though you want it to\Come on and set me free\\I'll dig it 'til we've made your grave\Oh, you've been a bad, bad boy\I'll cut it 'til I carve it out\And stick it in a sad, sad song\Why the bother? You're no brother\You're the wrong I need\Boy, we all found an audience, while\You found the worst of me, you got another thing\\We caught you on the wrong side of lying\Within the dust, we left you dying\If only words can keep you hiding\Well, go on, cowards, we've offed you\Cowards, we've offed you\(I hope your life's a living hell) It's all on you, boy\(I hope your life's a living hell) It's all on you, boy\(I hope your life's a living hell) It's all on you, boy\(I hope your life's a living hell) It's all on you, boy\(I hope your life's a living hell) It's all on you, boy\(I hope your life's a living hell) It's all on you, boy\(I hope your life's a living hell) It's all on you, boy"
Beast of Blood	Malice Mizer	""
Don't Let Me Fall	B.o.B	"Well it was just a dream, just a moment ago\I was up so high, lookin' down at the sky, don't let me fall\I was shootin' for stars, on a Saturday night\They say what goes up, must come down but don't let me fall\Don't let me fall, don't let me fall\They say what goes up, must come down but don't let me fall\Don't let me fall\\'Cause I'm glidin' up there, oh so very high\That if the, clouds were to drop me, then I'd, fall out the sky\I don't really, know why I'm here, I guess I'm, just here for the ride\I swear it, feels like I'm dreamin', it's vividly defined, yeah\So call me whatever you want, title me whatever you like\But let's get one thing straight, you know my name\So I run this town, when I'm on this mic\Yeah, so here I go, B.o.B, Bobby Ray, I don't know, need I know\But I know, that I flow, rack 'em up, knock 'em down, dominoes\Then I go, as my story goes\I know I've done been down here before\Product of my East Decatur home\'Cause I was in the cold, tryin' to keep my toes unfroze\Now I'm in your house, now I'm in your soul\Now I'm everywhere that your iPod go\Everything I seen was a dream just a moment ago\\Well it was just a dream, just a moment ago\I was up so high, lookin' down at the sky, don't let me fall\I was shootin' for stars, on a Saturday night\They say what goes up, must come down but don't let me fall\Don't let me fall, don't let me fall\They say what goes up, must come down but don't let me fall\Don't let me fall\\Yeah, well I'm from much lower than where that pavement is\'Cause there ain't no parachute that they can make for this\'Cause I put my pain, my heart, my soul, my faith in this\Does anyone feel like how I feel? Then you can relate to this\Or just blaze of this, maybe roll one up, then take a hit\Toast to the good life then take a sip\Vacay everyday, yeah take a trip\It's easy to see I was made for this\From the womb all the way to the grave I spit\Just to show y'all niggas what greatness is\Yeah, I'm talkin' very lucid, like makin' movies\To picture my life boy, you need a higher resolution\I used to cut class in the day, then run away at night\But now I'm ruler of the upper class and I don't even write\\Well it was just a dream, just a moment ago\I was up so high, lookin' down at the sky, don't let me fall\I was shootin' for stars, on a Saturday night\They say what goes up, must come down but don't let me fall\Don't let me fall, don't let me fall\They say what goes up, must come down but don't let me fall\Don't let me fall"
Unravel (Cover)	りょ子	
GLASS SKIN (Japanese Lyrics Re-mastering)	DIR EN GREY	
Will There Really Be A Morning? (Live Cover)	Ashe	
獣慾	DIR EN GREY	
Anna Molly	Incubus	"A cloud hangs over this city by the sea\I watch the ships pass and wonder if she might be out there and sober as well from loneliness\Please do persist, girl it's time we met and made a mess\\I picture your face at the back of my eyes\A fire in the attic, proof of the prize\Anna-Molly, Anna-Molly, Anna-Molly\\A cloud hangs over and mutes my happiness\A thousand ships couldn't sail me back from distress\Wish you were here I'm a wounded satellite\I need you here, put me back together, make me right\\I picture your face at the back of my eyes\A fire in the attic, proof of the prize\Anna-Molly, Anna-Molly, Anna-Molly\\Wait, there is a light\There is a fire\De-fragmenting the attic\Fate? Or something better? I couldn't care less\Just stay with me a while\\I picture your face at the back of my eyes\A fire in the attic, proof of the prize\Anna-Molly, Anna-Molly, Anna-Molly\I'm calling your name up into the air\Not one of the others could ever compare!\Anna-Molly, Anna-Molly!"
Lies and Truth	L'Arc~en~Ciel	" I can't see you, can't see you\I call to you over and over again\and get lost in the night.\\The one who controls you slumbering within you,\is lies that still can't be told.\a very slight fever, wavers like a heat wave that won't go away.\\...I softly touched the wound that was still shaking a bit.\\I can't see you, can't see you\I call to you over and over again\even though you're right next to me, I want to see you... I can't help it.\even if I hold you with enough force to crush you\it doesn't reach you.\\...things go on as always, is truth the only thing that can heal the pain?\the light of the moon sinking in the sky from the window, dyed your skin blue.\\...I'm still hurting those lips that were still shaking a bit.\\I'm losing myself in the night, losing myself\I can't look for truth.\even though you're more important to me than anyone else, my faith is wavering\even if I hold you with enough force to crush you,\it doesn't reach you.\\like a labrynth without exit.\who pulled the twisted trigger?\\I can't see you, can't see you\I call to you over and over again\even though you're right next to me, I want to see you... I can't help it.\even if I hold you with enough force to crush you\it doesn't reach you.\\Lies and Truth, losing myself (I can't see...)\I can't look for truth.\even though you're more important to me than anyone else, my faith is wavering\even if I hold you with enough force to crush you,\it doesn't reach you. "
기대해	Girl's Day	
KISS OR BITE	Meg	
Heavens Drive (Live)	L'Arc~en~Ciel	
White Feathers	L'Arc~en~Ciel	""
Baptism of Blood	Malice Mizer	"Blood feels desire\Proud of the crimson\Flowing the body\Demanding a prisoner\Erode everything\Follow your instincts\With rapture and madness\Erode everything\Pursue an ideal\Desperate howls lurk inside the blood\Everlasting is passing away in vain\Giving you wath you want\In this dazzling ceremony\Baptism of Blood\Resound Beast - voice\Moment of death\Resound Beast - voice\Moment of birth"
Feeling Fine	L'Arc~en~Ciel	"Are you feeling fine?\眠れない夜には君の幻が・・・\She said\"Loving you made me happy everyday"\あの頃と同じさ無邪気な顔で話しかけないで\繋がっていても予感してたから最初から多分\遠い過去のことさ教えてくれた別れの意味"
Trail of Tears	ViViD	
Chase the Morning	Darren Smith & Terrance Zdunich	
Nervous and Innocence	Eve of Destiny	
Approximately Gone	Sophie Hunger	"It's way over my head, it's over\It's way over my head, it's done\Every time you're out the door\You wave goodbye\You're back for more\You'll never get out\You'll never get out\Every time I loose my shoes\I cut my feet I think of you\You'll never get out\In between my fingers\You're the hole inside my head"
DESTINY -The Lovers-	Versailles	""
REPETITION OF HATRED	DIR EN GREY	"Being down it there forever, I just crush something in my hand\Is this really where I belong?\\Clustered blood is torn by the persecution, feast of glorification drains\\Pin to the floor with power\It's a perfectly dead passion\It's an entirely dead passion\Parasite children of hatred\I hate you - Dead passion\Buried with mud　Embryo burning\Let's rupture　My pleasure\\I crush the reason that is becoming bits as I hold it carefully\Is this really where I belong?\\In the name of kamikaze\It's a perfectly dead passion\It's an entirely dead passion\Parasite children of hatred\I hate you - Dead passion\Buried with mud　Embryo burning\Let's rupture　My pleasure\\Slow Down\Move on darkness\\It's a perfectly dead passion\It's an entirely dead passion\Parasite children of hatred\I hate you - Dead passion"
Key Entity Extraction I: Domino the Destitute	Coheed and Cambria	"If you had the courage to stop me from turning\Into what would be the worst in everybody's eyes\Hey, I'm no angel or the devil of your conscience\To tell you who to be, good, bad, ugly, or otherwise\If you had good common sense\Your choices would be gleaming, flawless\I want no part in this self-deprecating\Worthless chemistry\\We made our beds to lie in them, proud\Proud of our great mistakes\This warring knife, the flash of its blade\Turn about-face\\I implore you, brother\Don't walk away, don't walk away from me\'Cause this is our war\\Oh, you think they have it all while you were left with nothing\Oh, oh, you've taken the fall for them to walk all over\You made your bed, so soft and comforting\These dreams await the grey good morning\\We made our beds to lie in them, proud\Proud of our great mistakes\This warring knife, the flash of its blade, turn about-face\\I implore you, brother\Don't walk away, don't walk away from me\'Cause this is our war\\Oh, we've got you by the throat\Ha-ha-ha, all you wanna be...\\Welcome all, to the everlasting all-time low\Please put your hands together\For the ever-failing one man show...\Domino\Ladies and broken gentlemen\The undisputed champ of misery\Oh, and in this corner, we find his challenger\The pride of utopia, the greatest thing ever\\If you could recall one moment of your past\That defined you to be, that made you the man\We've come to love, all of the above\This disaster binds us, absolute\A thousand lies, you tell yourself\That no one ever loved you right\Oh, but I would do anything for you\The question fits the question mark\Your signals crossed, your message lost\Ha-ha!\\\This wall won't hold, forever\Your time has come, it's now or never\\We made our beds to lie in them, proud\Proud of our great mistakes\This warring knife, the flash of its blade\Turn about-face\\I implore you, brother\Don't walk away, don't walk away from me\'Cause this is our war\\One by one\We are together! We fall together!\One by one\We are together! We fall together!\Now, my brother, don't be afraid\We are together! We are together!\Brother...\We are together! We fall together!"
星の無い夜に	DELUHI	
The Grace	Neverending White Lights	"In better days I've been known to listen\I go to waste all my time is missing\I'm mapping out my ending\It's never gonna happen now\These things are condescending\With everybody backing down\You pray to stars that can help you get by\And all at once you forget to try\I'd go there if you let me\They're never gonna find me now\My life is always empty\And in and out of doubt\You're not coming back for me, these things they will never be\I'm so used to being wrong, so put me where I belong\I'll get back to you\God knows I try\But I still lose\And I get back to you\These days run by\But I still lose\Angels say they can make you suffer\They give and take like a vicious lover\When all this loses meaning\You'll never want it back somehow\Awake but still I'm dreaming\And never waking up\You're not coming back for me, these things they will never be\I'm so used to being wrong, so put me where I belong\I'll get back to you\God knows I try\But I still lose\And I get back to you\These days run by\But I still lose\Alone, Where I'm not alone\Alone, Where I'm not alone\Alone, Where I'm not alone\Alone, alone"
THE GHOST IN MY ROOM	L'Arc~en~Ciel	" Love me, look at me\My days are spent in thrall to a ghost\Touch me, please hurt me\Even my dreams are possessed by lies\\Drive me, play with me\The mechanical window connects to the outside\Call me, please help me\You are all that's left to me\\Kiss me, knock on me\I search for you in the window again today\Hold me, please feel me\A question that for some reason isn't returned\\The sun dazzles my eyes\Embracing spirit to spirit oh! Oh!\If I can escape, I'll grab it\\He says! Steal your love\The target glittered more than any jewel\I smile slightly at the prank\He says! Steal your love\Like the mermaids that swim\Around the boat that's fallen into the pitch black sea\\I drank the poison and awakened from a dream\Picking up speed, so you wouldn't escape\\He says! Steal your love\There's no turning back from the door that will set me free\I don't need a rusted key, but\He says! Steal your love\If I can take the mechanical you with me to tomorrow\The past will change\\The ghost in my room "
Step on The Floor	Capsule	
Hither	The Ransom Collective	"I'm falling for your tricks again\Still tempted by the words of men\The cold air whispers through my skin\No where to hide except within\\My thoughts are tangled in your knees\I fill the air that your lungs breathe\The sun rays slip between your limbs\So much for chasing all our whims\\The state lines are nothing more than roads\Let all your apprehensions go\And on this side I finally feel at home\You can't regret what you don't know\So is this right?\I'm finally on my own\On my own, own, own\\We left our footprints in the snow\I hear the ancients call us home\They'll find their answers in the dust\And wish that they were one of us\\The state lines are nothing more than roads\Let all your apprehensions go\And on this side I finally feel at home\You can't regret what you don't know\So is this right?\I'm finally on my own\On my own, own, own\\I'm falling for your tricks again\Still tempted by the words of men"
I May Fall (feat. Casey Lee Williams)	Jeff Williams	
OBSCURE (remake)	DIR EN GREY	" How many hangings tonight under the red moon\\How deep will it sink inside eating skin that doesn't match?\The snake maes way through the sheets and goes inside the uterus.\\It can seem like a someivoshino a cherry blossom petal,\that dances sadly. The stain is the moon that's fullfilled,\\and the vomiting at night begins. Don't you remember?\\Colour of faint...the night begins and people start to awe\Colour of pomegranate...sting with the prick and disappear far away\\How many secret hangings of the premature baby tonight under the red moon\\Bloody Baby&Sacrifice\\Don't you remember?\\Colour of Golden yellow...want to be the spider that stings\Colour of tears...remembering the memories\Colour of faint...the night begins and people start to awe\Colour of pomegranate...sting with the prick and disappear far away"
Obscure	DIR EN GREY	" How many hangings tonight under the red moon\\How deep will it sink inside eating skin that doesn't match?\The snake maes way through the sheets and goes inside the uterus.\\It can seem like a someivoshino a cherry blossom petal,\that dances sadly. The stain is the moon that's fullfilled,\\and the vomiting at night begins. Don't you remember?\\Colour of faint...the night begins and people start to awe\Colour of pomegranate...sting with the prick and disappear far away\\How many secret hangings of the premature baby tonight under the red moon\\Bloody Baby&Sacrifice\\Don't you remember?\\Colour of Golden yellow...want to be the spider that stings\Colour of tears...remembering the memories\Colour of faint...the night begins and people start to awe\Colour of pomegranate...sting with the prick and disappear far away"
No More Perfume On You	TEEN TOP	""
Megu Megu Romantic Fever ft. Carlos, Joel, Jurian (Cover)	Akatsuki Taiyou	
Link	L'Arc~en~Ciel	""
Kremlin Dusk	Utada	
Jasper	木村カエラ	
It's in Our Hands	Björk	"Look no further\Look no further\Look no further\\Cruelest, almost\Always to ourselves\It mustn't\Get any better off\\It's in our hands: it always was\It's in our hands: in our hands\It's all there: in our hands\It's all there: in our hands\\Well, now aren't we scaring ourselves\Unnecessarily?\Aren't we trying too hard?\\'Cause it's in our hands: it's in our hands\It's all here: it's in our hands\\Look no further\Look no further\\It's in our hands: it always was\It's in our hands\It's in our hands: it's in our hands\It's in our hands"
Interviewer-インタビュア (English Cover)	JoyDreamer	
IA IA Night of Desire (Cover)	Zessei Bijin!	
I think I can fly	ギルガメッシュ	
I Did It For Love	Boa	"I I did it for love\I I did it for love\I I did it for love\I I did it for love\No signs for me\I saw your game but yet\And still you got me\You touched the deepest part of me\You got my heart, it's jumping\I told you all of my secrets\Didn't see betrayal\One night, two months\And now it's over\Didn't think it would fail\Loving you is causing me to change\And it hurts so bad, it don't feel the same\And now my friends are asking me, 'What did I do?'\I'm done hurtin' myself, over loving you\Oh I...\I I I I did it did it did it for love\I I I I did it did it did it for love\I I I I did it did it did it for love\I I I I did it did it did it for love\(I know that I did you wrong)\Please forgive me, baby girl, I'm sorry\(You know that you did me wrong)\Why you crying, baby girl, I'm sorry\(I know that I did you wrong)\Heaven knows I didn't mean to hurt nobody\(You know that you did me wrong)\Let me take this time to say I'm sorry\Loving you is causing me to change\And it hurts so bad, it don't feel the same\And now my friends are asking me, 'What did I do?'\I'm done hurtin' myself, over loving you\Oh I...\I I I I did it did it did it for love\I I I I did it did it did it for love\I I I I did it did it did it for love\I I I I did it did it did it for love\(I know that I did you wrong)\Please forgive me, baby girl, I'm sorry\(You know that you did me wrong)\Why you crying, baby girl, I'm sorry\(I know that I did you wrong)\Heaven knows I didn't mean to hurt nobody\(You know that you did me wrong)\Let me take this time to say I'm sorry\Loving you is causing me to change\And it hurts so bad, it don't feel the same\And now my friends are asking me, 'What did I do?'\I'm done hurtin' myself, over loving you\Oh I...\I I I I did it did it did it for love\I I I I did it did it did it for love\I I I I did it did it did it for love\I I I I did it did it did it for love\I had some injunctions baby\But not in hurting you\I I I I I wanna make it up to you\Didn't you see it in my heart?\I can't trust it anymore\I I I I I wanna make it up to you\I I I I I wanna make it up to you\Didn't you see it in my heart?\I can't trust it anymore\I I I I did it did it did it for love\Did it did it did it for love"
Hyperballad	Björk	"We live on a mountain\Right at the top\There's a beautiful view\From the top of the mountain\Every morning I walk towards the edge\And throw little things off\Like car parts, bottles and cutlery\Or whatever I find lying around\\It's become a habit\A way to start the day\\I go through all this\Before you wake up\So I can feel happier\To be safe up here with you\I go through all this\Before you wake up\So I can feel happier\To be safe up here with you\\It's early morning\No one is awake\I'm back at my cliff\Still throwing things off\I listen to the sounds they make\On their way down\I follow with my eyes till they crash\I imagine what my body would sound like\Slamming against those rocks\\And when it lands\Will my eyes be closed or open?\\I go through all this\Before you wake up\So I can feel happier\To be safe up here with you\I go through all this\Before you wake up\So I can feel happier\To be safe up here with you\I go through all this\Before you wake up\So I can feel happier\To be safe up here with you\Safe up here with you\Safe up here with you\Safe up here with you\Safe up here with you\Safe up here with you\Safe up here with you\Safe up here with you\Safe up here with you"
Honey Vanity	Közi	
Hawak Kamay	Yeng Constantino	""
Have One on Me	Joanna Newsom	"From the courtyard, I floated in\And watched it go down\Heard the cup drop;\Thought, "Well\That's why they keep them around."\The blackguard sat hard, down\With no head on him now\And I felt so bad\Cause I didn't know how\To feel bad enough\To make him proud\By the time you read this\I will be so far away\Daddy longlegs, how in the world\Am I to be expected to stay?\In the night--\In the night, you may hear me call\Pa, stay your hand\And steel your resolve\Stay where you are\So long and tall\Here's Lola--ta da!--to do\Her famous Spider Dance for you!\Lighten up your pockets!\Shake her skirts and scatter, there\A shrieking, six-legged millionaire\With a blight in his sockets\Miss Montez\The Countess of Lansfeld\Appealed to the King of Bavaria\Saying, "Pretty papa\If you are my friend--\Mister daddy longlegs, they are at it again!--\Can I see you?"\Poor Lola! A tarantula's mounting\Countess Lansfeld's\Handsome brassiere\While they all cheer\And the old king fell from grace\While Lola fled\To save face and her career\You caught a fly, floating by\Wait for him to drown in the dust;\Drown in the dust of other flies\Whereby the machine is run\And the deed is done\Heaven has no word\For the way you and your friends\Have treated poor Louis\May god save your poor soul, Lola\(But there is nothing I adore\Apart from that whore's black heart.)\Well, doesn't that just beat all!\Miss Gilbert\Called to Castlemaine\By the silver dollar and the gold glitter!\Well, I've seen lots\But never, in a million years\Would think to see you, here\Though the long road\Begins and ends with you\I cannot seem to make amends\With you, Louis\When we go out\They're bound to see you with me\At night, I walk in the park\With a whip\Between the lines\Of the whispering Jesuits\Who are poisoning you against me\There's a big black spider\Hanging over my door\Can't go anywhere, anymore\Tell me, are you with me?\I called to you, several times\While the change took place\And then arrived, all night\And I died\But all these songs\When you and I are long gone\Will carry on\Mud in your eye\You asked my hand\Hired a band\"In your heart is all that you need;\Ask and you will receive," it is said\I threw my bouquet\And I knocked 'em dead\Bottle of white, bottle of red\Helpless as a child\When you held me in your arms\And I knew that no other\Could ever love me as you loved\But help me! I'm leaving!\I remember everything\Down to the sound of you shaving--\The scrape of your razor\The dully-abrading black hair\That remained\When you clutched at me\That night I came upstairs, half-dead\And, in your kindness\You put me straightaway\In the cupboard\With a bottle of champagne\And then, later, on a train\It was dark out, I was half-dead\I saw a star fall into the sky\Like a chunk of thrown coal\As if god himself spat\Like a cornered rat\I really want you to do this for me\Will you have one on me?\It was dark; I was drunk and half-dead\And we slept, knocking heads\Sitting up in the star-smoking air\Knocking heads like buoys\Don't you worry for me!\Have one on me!\Meanwhile, I will raise my own glass\To how you made me fast\And expendable\And I will drink to your excellent health\And your cruelty\Will you have one on me?\--helpless as a child\When you held me in your arms\And I knew that no other\Could ever love me--\From the courtyard, I floated in\And watched it go down\Heard the cup drop;\Thought, "Well, that's why\They keep them around."\The blackguard sat hard, down\With no head on him now\And I felt so bad\Cause I didn't know how\To feel bad enough\To make him proud\Well daddy longlegs, are you?\Daddy longlegs, are you?\Daddy longlegs, are you proud?"
Hama	Boris	""
Galileo (Someone Like You)	Declan O'Rourke	"Galileo fell in love as a Galilean boy\And he wondered what in heaven who invented such a joy\But the question got the better of his scientific mind\And to his blind and dying gaze\He looked up high and often sighed\And sometimes cried\Who puts the rainbow in the sky?\Who lights the stars at night?\Who dreamt up someone so divine?\Someone like you and made them mine?\Love can make you ask some funny questions now and then\But just remember the alternatives for I remember when\I was lonely and unhappy\And my lips were cold as ice\But you kissed me, and good heavens\Now I'm here in paradise\So if ever I'm not kissing you or looking in your eyes\I won't be blind, and I won't cry\I'll look up high and gladly sigh\And thank the guy\Who puts the rainbow in the sky?\Who lights the stars at night?\Who dreamt up someone so divine?\Someone like you and made them mine?\Someone like you and made them mine?"
freesia	ムック	
